State,Name,Unemployment_rate_2008-2012,Unemployment_rate_2013-2018
AL,Alabama,8.959999999999999,5.7
AK,Alaska,7.4,6.816666666666666
AZ,Arizona,8.86,5.949999999999999
AR,Arkansas,7.4799999999999995,4.933333333333333
CA,California,10.559999999999999,6.183333333333334
Co,Colorado,7.419999999999999,4.166666666666667
CT,Connecticut,7.960000000000001,5.666666666666665
DE,Delaware,7.260000000000001,5.016666666666667
DC,District of Columbia,8.88,6.833333333333335
FL,Florida,9.26,5.266666666666667
GA,Georgia,9.2,5.883333333333333
HI,Hawaii,6.24,3.4499999999999997
ID,Idaho,7.68,4.1499999999999995
IL,Illinois,9.12,6.183333333333334
IN,Indiana,8.8,4.983333333333333
IA,Iowa,5.42,3.6500000000000004
KS,Kansas,6.16,4.183333333333333
KY,Kentucky,8.9,5.683333333333333
LA,Louisiana,6.92,5.916666666666667
ME,Maine,7.42,4.533333333333333
MD,Maryland,6.619999999999999,5.033333333333333
MA,Massachusetts,7.18,4.7
MI,Michigan,10.76,5.8500000000000005
MN,Minnesota,6.540000000000001,3.849999999999999
MS,Mississippi,9.1,6.349999999999999
MO,Missouri,8.08,4.8999999999999995
MT,Montana,6.42,4.333333333333333
NE,Nebraska,4.18,3.15
NV,Nevada,11.14,6.616666666666667
NH,New Hampshire,5.359999999999999,3.483333333333333
NJ,New Jersey,8.5,5.75
NM,New Mexico,6.94,6.25
NY,New York,7.82,5.5
NC,North Carolina,9.440000000000001,5.583333333333333
ND,North Dakota,3.54,2.8000000000000003
OH,Ohio,8.64,5.466666666666668
OK,Oklahoma,5.6000000000000005,4.433333333333333
OR,Oregon,9.34,5.566666666666666
PA,Pennsylvania,7.5,5.533333333333332
RI,Rhode Island,10.28,6.116666666666667
SC,South Carolina,9.8,5.466666666666668
SD,South Dakota,4.4,3.25
TN,Tennessee,8.719999999999999,5.333333333333333
TX,Texas,7.0,4.766666666666667
UT,Utah,6.159999999999999,3.6333333333333333
VT,Vermont,5.58,3.466666666666667
VA,Virginia,6.08,4.366666666666666
WA,Washington,8.400000000000002,5.533333333333334
WV,West Virginia,7.26,6.116666666666666
WI,Wisconsin,7.4,4.500000000000001
WY,Wyoming,5.380000000000001,4.45
